,x,y,z,s
g000,0,0,0,42
g001,0,0,1,33
g002,0,0,2,29
g003,0,0,3,10
g010,0,1,0,46
g011,0,1,1,37
g012,0,1,2,33
g013,0,1,3,26
g020,0,2,0,65
g021,0,2,1,47
g022,0,2,2,49
g023,0,2,3,36
g030,0,3,0,77
g031,0,3,1,64
g032,0,3,2,53
g033,0,3,3,46
g100,1,0,0,52
g101,1,0,1,51
g102,1,0,2,38
g103,1,0,3,19
g110,1,1,0,66
g111,1,1,1,54
g112,1,1,2,47
g113,1,1,3,26
g120,1,2,0,80
g121,1,2,1,66
g122,1,2,2,56
g123,1,2,3,49
g130,1,3,0,80
g131,1,3,1,82
g132,1,3,2,62
g133,1,3,3,49
g200,2,0,0,63
g201,2,0,1,55
g202,2,0,2,45
g203,2,0,3,28
g210,2,1,0,75
g211,2,1,1,69
g212,2,1,2,59
g213,2,1,3,37
g220,2,2,0,85
g221,2,2,1,79
g222,2,2,2,77
g223,2,2,3,57
g230,2,3,0,93
g231,2,3,1,84
g232,2,3,2,69
g233,2,3,3,67
g300,3,0,0,53
g301,3,0,1,41
g302,3,0,2,34
g303,3,0,3,20
g310,3,1,0,62
g311,3,1,1,49
g312,3,1,2,47
g313,3,1,3,32
g320,3,2,0,65
g321,3,2,1,56
g322,3,2,2,58
g323,3,2,3,43
g330,3,3,0,79
g331,3,3,1,74
g332,3,3,2,64
g333,3,3,3,58